Id,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
1624,Kirby Tilt 'n' Tumble,GB,2000.0,Puzzle,Nintendo,0.29,0.17,0.75,0.02,1.23,,,,,,
11105,World Championship Games: A Track & Field Event,DS,2008.0,Sports,Ghostlight,0.08,0.0,0.0,0.01,0.09,,,,,,
7310,Nintendo Presents: Crossword Collection,DS,2009.0,Puzzle,Nintendo,0.0,0.19,0.0,0.02,0.21,,,,,,
535,Ratchet & Clank: Going Commando,PS2,2003.0,Platform,Sony Computer Entertainment,1.44,0.83,0.26,0.25,2.78,,,,,,
11004,Monopoly Collection,Wii,2011.0,Misc,Electronic Arts,0.02,0.07,0.0,0.01,0.09,,,,,Virtuos,E
5368,The Fairly Odd Parents: Shadow Showdown,GBA,2004.0,Platform,THQ,0.25,0.09,0.0,0.01,0.34,,,,,,
14461,Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wei-Hen,PSP,2010.0,Adventure,Yeti,0.0,0.0,0.03,0.0,0.03,,,,,,
4064,Sniper: Art of Victory,PC,2008.0,Shooter,City Interactive,0.0,0.45,0.0,0.03,0.49,36.0,7.0,3.6,16.0,City Interactive,M
16308,Mystery Legends: Beauty and the Beast,PC,2012.0,Puzzle,Focus Multimedia,0.0,0.01,0.0,0.0,0.01,,,,,Activision,E10+
14285,Higurashi no Naku Koro ni Kizuna: Dai-San-Kan - Rasen,DS,2009.0,Adventure,Alchemist,0.0,0.0,0.03,0.0,0.03,,,,,,
5681,Lord of Arcana,PSP,2010.0,Role-Playing,Square Enix,0.07,0.04,0.17,0.03,0.32,53.0,45.0,5.5,21.0,Access Games,M
6123,Triple Play 2000,N64,1999.0,Sports,Electronic Arts,0.27,0.01,0.0,0.0,0.28,,,,,,
11667,Guilty Gear XX Slash,PS2,2006.0,Fighting,Sammy Corporation,0.0,0.0,0.08,0.0,0.08,,,,,,
5782,Jonah Lomu Rugby Challenge,X360,2011.0,Sports,Home Entertainment Suppliers,0.09,0.19,0.0,0.03,0.31,73.0,14.0,6.0,8.0,Sidhe Interactive,E
5526,NBA Live 96,PS,1996.0,Sports,Electronic Arts,0.16,0.11,0.04,0.02,0.33,,,,,,
15065,"Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 1: Shinseiki Evangelion - Magokoro o, Kimi ni",DS,2008.0,Misc,D3Publisher,0.0,0.0,0.02,0.0,0.02,,,,,,
2880,Madden NFL 08,PSP,2007.0,Sports,Electronic Arts,0.6,0.04,0.0,0.07,0.71,75.0,10.0,6.8,8.0,EA Tiburon,E
1176,Dead Rising 3,XOne,2013.0,Action,Microsoft Game Studios,1.06,0.35,0.01,0.15,1.57,78.0,69.0,6.8,908.0,Capcom Vancouver,M
11123,Family GameShow,Wii,2009.0,Misc,Zushi Games,0.08,0.0,0.0,0.01,0.09,,,,,Zushi Games Ltd,E10+
4660,Condemned: Criminal Origins,X360,2005.0,Action,Sega,0.36,0.02,0.0,0.03,0.41,81.0,72.0,8.2,146.0,Monolith Productions,M
4477,Spec Ops: Covert Assault,PS,2001.0,Shooter,Take-Two Interactive,0.24,0.16,0.0,0.03,0.43,,,,,Runecraft,T
2536,Shaun White Snowboarding,X360,,Sports,Ubisoft,0.48,0.25,0.0,0.08,0.81,60.0,48.0,7.6,25.0,Ubisoft Montreal,T
15339,Tengen Toppa Gurren-Lagann,DS,2007.0,Action,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02,,,,,,
4805,18 Wheeler: American Pro Trucker,PS2,2001.0,Racing,Acclaim Entertainment,0.2,0.15,0.0,0.05,0.4,61.0,11.0,5.7,18.0,Acclaim Studios Cheltenham,E
10591,Draglade,DS,2007.0,Fighting,505 Games,0.09,0.0,0.0,0.01,0.1,71.0,23.0,7.5,4.0,Dimps Corporation,E10+
13078,Batman: Gotham City Racer,PS,2001.0,Racing,Ubisoft,0.03,0.02,0.0,0.0,0.05,,,,,,
10695,Initial D: Street Stage,PSP,2006.0,Racing,Sega,0.0,0.0,0.1,0.0,0.1,,,,,,
4485,Star Wars The Clone Wars: Republic Heroes,PS3,2009.0,Action,LucasArts,0.19,0.18,0.0,0.07,0.43,43.0,22.0,5.3,16.0,"LucasArts, Krome Studios",T
8683,Akiba's Trip: Undead & Undressed,PSV,2013.0,Action,Nippon Ichi Software,0.04,0.02,0.08,0.01,0.16,,,,,,
1755,LEGO Star Wars: The Video Game,XB,2005.0,Action,Eidos Interactive,0.83,0.28,0.0,0.05,1.16,,,,,,
11798,Superman Returns,DS,2006.0,Action,Electronic Arts,0.07,0.0,0.0,0.01,0.07,33.0,8.0,4.9,13.0,EA Tiburon,E
5576,Dragon Quest Monsters 1·2,PS,2002.0,Role-Playing,Enix Corporation,0.0,0.0,0.3,0.02,0.32,,,,,,
1666,Battlefield: Hardline,XOne,2015.0,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.21,71.0,27.0,5.1,299.0,Visceral Games,M
16498,thinkSMART: Chess for Kids,DS,2011.0,Misc,Mentor Interactive,0.01,0.0,0.0,0.0,0.01,,,,,Mentor Interactive,E
894,Mortal Kombat vs. DC Universe,X360,2008.0,Fighting,Midway Games,1.53,0.23,0.0,0.16,1.93,72.0,61.0,7.5,87.0,Midway,T
15151,Mage Knight: Destiny's Soldier,DS,2006.0,Strategy,Namco Bandai Games,0.02,0.0,0.0,0.0,0.02,59.0,8.0,7.1,11.0,Big Blue Bubble Inc.,E10+
3996,PoPoLoCrois Monogatari,PS,1996.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.46,0.03,0.5,,,,,,
10471,Who Wants to Be a Millionaire: 3rd Edition,Wii,2010.0,Misc,Ubisoft,0.1,0.0,0.0,0.01,0.1,,,,,Ludia Inc.,E
8904,Power Pro Kun Pocket 9,DS,2006.0,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,,,,,,
7617,Clive Barker's Jericho,PS3,2007.0,Shooter,Codemasters,0.17,0.01,0.0,0.02,0.2,60.0,34.0,7.1,52.0,"Mercury Steam, Alchemic Productions",M
5889,NBA Live 2003,GC,,Sports,Electronic Arts,0.23,0.06,0.0,0.01,0.3,82.0,11.0,8.2,5.0,EA Canada,E
6919,X-Men: Destiny,X360,2011.0,Action,Activision,0.18,0.04,0.0,0.02,0.24,47.0,51.0,5.0,72.0,Silicon Knights,T
5126,Imagine: Salon Stylist,DS,2009.0,Simulation,Ubisoft,0.23,0.1,0.0,0.03,0.37,,,,,Playbox Limited,E
15030,BeatMania IIDX 11: IIDX Red,PS2,2006.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02,,,,,,
14090,Super Robot Taisen: Scramble Commander the 2nd,PS2,2007.0,Strategy,Banpresto,0.0,0.0,0.04,0.0,0.04,,,,,,
3378,Hot Wheels: Stunt Track Challenge,PS2,2004.0,Racing,THQ,0.29,0.23,0.0,0.08,0.59,62.0,8.0,8.1,8.0,Climax Group,E
1442,FIFA Soccer 08,PSP,2007.0,Sports,Electronic Arts,0.2,0.76,0.0,0.39,1.35,79.0,7.0,7.4,15.0,EA Canada,E
